"","bin","T[2099]","T[2015]","T[diff]","beta^F","beta^I","beta^N","beta^F*T[2099]-beta^I*T[2015]","beta^I*T[2099]-beta^I*T[2015]","beta^N*T[2099]-beta^N*T[2015]"
"-11.5","(-12,-11]","0","1","-1","14.97","14.97","5.79","-14.97","-14.97","-5.79"
"-10.5","(-11,-10]","0","1","-1","14.58","14.58","5.64","-14.58","-14.58","-5.64"
"-9.5","(-10,-9]","0","1","-1","14.19","14.19","5.49","-14.19","-14.19","-5.49"
"-8.5","(-9,-8]","0","2","-2","13.8","13.8","5.34","-27.6","-27.6","-10.67"
"-7.5","(-8,-7]","0","2","-2","13.41","13.41","5.19","-26.82","-26.82","-10.37"
"-6.5","(-7,-6]","0","5","-5","13.02","13.02","5.03","-65.12","-65.12","-25.17"
"-5.5","(-6,-5]","0","5","-5","12.63","12.63","4.88","-63.17","-63.17","-24.42"
"-4.5","(-5,-4]","0","6","-6","12.25","12.25","4.73","-73.48","-73.48","-28.41"
"-3.5","(-4,-3]","0","6","-6","11.86","11.86","4.58","-71.14","-71.14","-27.5"
"-2.5","(-3,-2]","2","8","-6","11.47","11.47","4.43","-68.81","-68.81","-26.6"
"-1.5","(-2,-1]","5","12","-7","11.08","11.08","4.28","-77.56","-77.56","-29.98"
"-0.5","(-1,0]","4","9","-5","10.69","10.69","4.13","-53.45","-53.45","-20.67"
"0.5","(0,1]","13","13","0","10.3","10.3","3.98","0","0","0"
"1.5","(1,2]","23","16","7","9.91","9.91","3.83","69.39","69.39","26.83"
"2.5","(2,3]","24","14","10","9.52","9.52","3.68","95.25","95.25","36.82"
"3.5","(3,4]","22","23","-1","9.14","9.14","3.53","-9.14","-9.14","-3.53"
"4.5","(4,5]","9","22","-13","8.75","8.75","3.38","-113.71","-113.71","-43.96"
"5.5","(5,6]","8","18","-10","8.36","8.36","3.23","-83.58","-83.58","-32.31"
"6.5","(6,7]","8","6","2","7.97","7.97","3.08","15.94","15.94","6.16"
"7.5","(7,8]","6","9","-3","7.58","7.58","2.93","-22.74","-22.74","-8.79"
"8.5","(8,9]","7","18","-11","7.19","7.19","2.78","-79.11","-79.11","-30.58"
"9.5","(9,10]","18","12","6","6.8","6.8","2.63","40.82","40.82","15.78"
"10.5","(10,11]","16","13","3","6.41","6.41","2.48","19.24","19.24","7.44"
"11.5","(11,12]","10","13","-3","6.03","6.03","2.33","-18.08","-18.08","-6.99"
"12.5","(12,13]","6","3","3","5.64","5.64","2.18","16.91","16.91","6.54"
"13.5","(13,14]","5","2","3","5.25","5.25","2.03","15.74","15.74","6.09"
"14.5","(14,15]","10","12","-2","4.86","4.86","1.88","-9.72","-9.72","-3.76"
"15.5","(15,16]","12","20","-8","4.47","4.47","1.73","-35.77","-35.77","-13.83"
"16.5","(16,17]","7","12","-5","4.08","4.08","1.58","-20.41","-20.41","-7.89"
"17.5","(17,18]","9","18","-9","3.69","3.69","1.43","-33.24","-33.24","-12.85"
"18.5","(18,19]","4","13","-9","3.3","3.3","1.28","-29.74","-29.74","-11.5"
"19.5","(19,20]","20","17","3","2.92","2.92","1.13","8.75","8.75","3.38"
"20.5","(20,21]","19","14","5","2.53","2.53","0.98","12.63","12.63","4.88"
"21.5","(21,22]","25","10","15","2.14","2.14","0.83","32.07","32.07","12.4"
"22.5","(22,23]","16","1","15","1.75","1.75","0.68","26.24","26.24","10.14"
"23.5","(23,24]","12","2","10","1.36","1.36","0.53","13.61","13.61","5.26"
"24.5","(24,25]","12","1","11","0.97","0.97","0.38","10.69","10.69","4.13"
"25.5","(25,26]","13","3","10","0.58","0.58","0.23","5.83","5.83","2.25"
"26.5","(26,27]","3","2","1","0.19","0.19","0.08","0.19","0.19","0.08"
"27.5","(27,28]","10","0","10","-0.19","-0.19","-0.07","-1.93","-1.93","-0.75"
"28.5","(28,29]","3","0","3","-0.56","-0.56","-0.21","-1.68","-1.68","-0.64"
"29.5","(29,30]","2","0","2","-0.86","-0.86","-0.32","-1.72","-1.72","-0.63"
"30.5","(30,31]","2","0","2","-1.05","-1.05","-0.37","-2.1","-2.1","-0.73"
"...44","Total <20C","","","","","","","-744.09","-744.09","-287.66"
"...45","Total >20C","","","","","","","93.83","93.83","36.39"
"...46","Total","","","","","","","-650.26","-650.26","-251.27"
