bin_3C,pop_95_times_temp_99,pop_10_times_temp_05,pop_10_times_temp_10
0,0.009519102941224811,0.03921563922325084,0.0332479006519708
3,0.006939230621338009,0.023149071035585594,0.018484841096035317
6,0.01108010331203866,0.029983726283997928,0.028030260730004294
9,0.013921615149789207,0.03485967778129558,0.03786966432329583
12,0.017253964201876696,0.03884472327266054,0.04016299357060926
15,0.020055144573710576,0.04403738925113703,0.044635092671370065
18,0.024617227780715793,0.05386998335262631,0.05438105966485058
21,0.03627089146958094,0.07340347611185245,0.07178768218716647
24,0.053578899689953795,0.10018860840122996,0.10386143451343359
27,0.08674678069622846,0.154453581576592,0.15149011598592468
30,0.16529254277877675,0.20723836398524864,0.2137904943432935
33,0.2308973518440509,0.11877310389216103,0.12119797909129104
36,0.16769292449882914,0.04855075823782139,0.04560785146262654
39,0.07985992487116274,0.023350635337967204,0.024274375799457706
42,0.045055792473806956,0.008496399503949271,0.010004844770353153
45,0.031218503096916653,0.0015848627526242104,0.0011734091383171423
